SlNo,state,feature_id,region,latitude,longitude,StrOrder,CityCount_10km,Population_10km,PopDensity_10km,CityCount_5km,Population_5km,PopDensity_5km,CityCount_2.5km,Population_2.5km,PopDensity_2.5km,RdCount_2.5km,RdLthMeter_2.5km,RdCount_5km,RdLthMeter_5km,RdCount_10km,RdLthMeter_10km,BridgeCount_2.5km,BridgeCount_5km,BridgeCount_10km,HistoricBuilding_2.5km,HistoricBuilding_5km,HistoricBuilding_10km,HistoricObj_2.5,HistoricObj_5,HistoricObj_10,HistoricSite_2.5,HistoricSite_5,HistoricSite_10,HistoricStruc_2.5,HistoricStruc_5,HistoricStruc_10,HistroricDistrict_2.5,HistroricDistrict_5,HistroricDistrict_10
1,AK,c33b5ece-57ba-4c3c-ba0f-f0145432180f,Northwest,65.2928,-146.404,NA,0,0,0,0,0,0,0,0,0,1,5507.927883,2,15138.42137,3,29702.52351,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AK,d26ed015-6d00-47fb-b409-3868c8dee741,Northwest,61.449393,-149.32388,NA,0,0,0,0,0,0,0,0,0,25,21121.45243,43,45750.92427,308,180739.8245,4,9,25,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
3,AL,22af5f9e-5e46-488b-be0e-367cad269142,Southeast,33.165092,-87.029534,6,1,971,23.3,0,0,0,0,0,0,2,4926.796611,32,41149.12964,243,236755.6614,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,AL,a896aa21-0a18-4905-9d65-c628f4e6bcaf,Southeast,32.588457,-88.197545,5,1,3227,178,1,3227,178,1,3227,178,83,58367.61293,139,146873.3743,172,311676.8624,3,18,39,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,AZ,975c5ab6-013d-4182-a6f8-f70e9074c479,Southwest,34.4213,-111.5759,3,1,935,36.9,0,0,0,0,0,0,1,4135.531843,14,21717.17593,164,208909.5977,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,CA,22041872-c729-4afe-9c62-b0368535f087,Southwest,40.0666,-123.7961,5,3,3152,204.6666667,2,1615,104.05,0,0,0,38,35730.47798,75,90698.37069,144,213349.1848,9,18,32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,CA,8320bfca-ead9-4fa1-aa6f-83368c6892eb,Southwest,33.68381514,-117.515112,2,3,77005,692.3666667,0,0,0,0,0,0,4,5165.207344,9,10303.06854,500,200206.9488,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CA,848252a1-32d1-4095-ada5-39ec81660a61,Southwest,41.68764,-122.53,5,3,9574,281.3666667,1,1446,329.9,0,0,0,7,10605.1926,97,71742.80187,223,285860.251,1,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CA,64f22fc4-9e98-49d6-9fe0-e327414f0e72,Southwest,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CA,b337bb01-adf1-4e74-b78f-0aa2afab21b5,Southwest,33.75222714,-117.568092,2,5,30528,183.92,0,0,0,0,0,0,3,3592.149244,6,7184.507079,653,275828.4145,1,5,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,CA,6a54af89-c089-4b2b-bdff-92ea2d609a54,Southwest,33.69345114,-117.514226,1,2,28815,317.6,0,0,0,0,0,0,4,3288.8009,4,8887.154281,492,197486.1317,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CA,bb63989b-2156-4f73-8fd1-39402918ac13,Southwest,33.59081143,-117.5014978,3,1,15873,767.9,0,0,0,0,0,0,3,12003.1,4,24544.15066,188,115285.673,4,6,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,CA,605d1b84-1fd5-48e6-a720-4a86bf2fc0ce,Southwest,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CA,87c02f29-b8ca-4112-b2bd-09099c9fe152,Southwest,40.42024,-121.961,4,2,338,6.25,0,0,0,0,0,0,3,13004.15563,5,31676.71022,28,121152.9206,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CA,f9610bbb-03a7-4ad9-a052-9c963377f592,Southwest,33.68914814,-117.51172,2,2,28815,317.6,0,0,0,0,0,0,4,3864.836492,4,8902.113073,477,196994.4976,2,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CA,0a3304a2-4573-4fe6-a4da-44394a5c6066,Southwest,37.62733,-120.98784,6,11,456290,2028.163636,8,451113,2555.9125,5,391118,2681.02,411,215518.9238,1713,739644.5216,4188,1760401.23,21,45,89,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
17,CA,3233825a-b2d0-4ccf-a168-ccaaf9d7beee,Southwest,34.04189,-118.57961,3,2,101083,2184.4,0,0,0,0,0,0,60,43351.66156,250,157997.3569,760,586629.0655,3,5,50,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
18,CA,f76c640e-7e30-4b8d-a991-7a90d0c2ddfb,Southwest,39.26526,-123.669,1,3,723,49.86666667,0,0,0,0,0,0,4,13244.76702,5,32116.20766,37,157540.6138,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CA,6b0b9291-a205-492a-9d60-89ce8c27dbed,Southwest,33.69085714,-117.51185,2,2,28815,317.6,0,0,0,0,0,0,4,3524.15663,4,8822.170173,478,194534.7708,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CA,6d5154b9-2a4c-4239-a85c-08bd6b67c84d,Southwest,33.67930715,-117.517196,2,3,77005,692.3666667,0,0,0,0,0,0,4,5859.738407,30,16471.65973,495,197993.1064,2,2,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,CA,e46ff535-498c-4484-a5f3-df4bb8fca752,Southwest,36.435712,-121.708571,5,1,4400,84.9,0,0,0,0,0,0,2,6878.234462,39,32231.14114,98,94199.09605,0,5,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,CA,96fe371e-ea6b-4ec5-8c3f-91eaa867a275,Southwest,38.234,-121.0266,2,3,3789,119,0,0,0,0,0,0,6,15311.27416,13,57361.96443,122,235656.7882,1,5,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,CA,593d9892-e191-40c2-ae83-877f307e3261,Southwest,33.59077823,-117.5015405,3,1,15873,767.9,0,0,0,0,0,0,3,12004.65725,4,24551.79724,188,115242.181,4,6,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,CA,94fff42b-aa24-4531-88b4-6e3c82e82c0e,Southwest,33.59930115,-117.461361,3,0,0,0,0,0,0,0,0,0,2,11943.02227,3,29269.73347,55,96917.1821,3,6,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,CA,07771ed0-5e67-47b9-9b8c-c9653b6ad72b,Southwest,33.68899014,-117.511759,2,2,28815,317.6,0,0,0,0,0,0,4,3894.488112,4,8916.185396,478,197113.8347,2,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,CA,101b96e9-5355-4282-a94c-3608fcdb4bad,Southwest,33.75190814,-117.570491,2,5,30528,183.92,0,0,0,0,0,0,3,3986.751301,6,7414.076276,643,273218.9732,1,6,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,CA,4661c39e-33ec-4d1c-892b-0b13b4ebecf3,Southwest,33.59060515,-117.499826,3,1,15873,767.9,0,0,0,0,0,0,3,12048.03683,4,24607.52142,170,108404.3341,4,6,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,CA,a50c6f0d-4339-43c9-8746-dbbe20577a38,Southwest,39.108423,-121.338499,4,2,4745,104.55,1,1030,36.5,0,0,0,2,499.2468925,8,18104.6282,38,112092.4888,5,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,CA,eb263e4c-c8be-4036-9d0a-bf897f876377,Southwest,33.69067414,-117.511821,2,2,28815,317.6,0,0,0,0,0,0,4,3557.062322,4,8828.756245,480,194845.0117,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
