PourPtID,feature_id,dam_name,WshedArea_km2,TRICount,SuperfundArea_m2,SuperfundCount,MineCount,MineArea_m2,MineFacilityCount,NLCDarea_m2_OpenWater,NLCDarea_m2_Ice,NLCDarea_m2_OpenSpace,NLCDarea_m2_DevLI,NLCDarea_m2_DevMI,NLCDarea_m2_DevHI,NLCDarea_m2_Barren,NLCDarea_m2_Deciduous,NLCDarea_m2_Evergreen,NLCDarea_m2_MixedFor,NLCDarea_m2_Scrub,NLCDarea_m2_Grassland,NLCDarea_m2_Pasture,NLCDarea_m2_Crop,NLCDarea_m2_Wetlands,NLCDarea_m2_herbWetland,Impervious_MIN,Impervious_MAX,Impervious_MEAN,Impervious_MAJORITY,Impervious_MEDIAN,SoilErodability_MIN,SoilErodability_MAX,SoilErodability_MEAN,SoilErodability_STD,SoilErodability_MODE,SoilErodability_MEDIAN
1,a4c79c12-8be6-4b8a-ad1b-8f178db5df7e,Afton Dam,167.5857,0,0,0,0,0,0,319500,0,4986900,4051800,856800,132300,382500,6223500,273600,876600,290700,170100,10117800,133260300,2556000,3077100,0,100,1.418464513,0,0,0.05,0.52,0.291,0.094408327,0.33,0.3
2,eb0e0f4c-99bf-46a3-914a-e2a6a8be94e6,Air Force Dam,3.381,0,0,0,0,0,0,0,0,180900,136800,102600,11700,900,1839600,237600,403200,117900,64800,9900,0,282600,0,0,97,3.753784861,0,0,0.02,0.38,0.12,0.107623407,0.03,0.03
3,fefa7e09-6fe8-4898-83aa-0d622dbaea5e,Alcott Dam,112.8453,17,421933.6658,1,0,0,0,3088800,0,19906200,25382700,15346800,5643000,109800,19954800,1080900,2819700,132300,1035000,1769400,10012500,6111900,451800,0,100,22.2216152,0,6,0.02,0.26,0.116,0.059005649,0.08,0.08
4,e8906cca-5347-4525-9cad-21ad2fbbcea9,Alphonso Dam,108.243,0,0,0,0,0,0,900,0,543600,90900,24300,0,19800,389700,84362400,2052000,12906000,6791400,1063800,0,4500,900,0,100,0.227356624,0,0,0.15,0.46,0.312,0.072731176,0.32,0.29
5,ca465ff9-9ff1-4791-918c-99e61522557a,American Paper Products Dam,808.0866,75,37007.43188,1,0,0,0,3215700,0,77599800,69061500,32289300,11013300,2962800,179388000,537300,30384000,9804600,4358700,89044200,289501200,7661700,1289700,0,100,7.28241278,0,0,0.21,0.49,0.342,0.069569639,0.42,0.36
6,d1c20878-dc69-4814-a3cf-41d42dfc7899,Amish Dam #5,78.7016,2,0,0,0,0,0,126900,0,6661800,4856400,1908000,433800,281700,30759300,60300,3078000,2108700,684900,9218700,17595000,883800,46800,0,100,4.579229036,0,0,0.24,0.48,0.376,0.07504296,0.42,0.42
7,d9c7da18-b079-47dd-85a5-d5c9a949dfb3,Amish Dam #6,77.9463,2,0,0,0,0,0,114300,0,6616800,4807800,1887300,432900,280800,30753000,60300,3069000,2095200,678600,9128700,17126100,853200,45900,0,100,4.58081537,0,0,0.24,0.48,0.377,0.07504482,0.42,0.42
8,92d3e327-2634-4bef-ab19-f56f7588f9b6,Amish Dam #7,77.296,2,0,0,0,0,0,114300,0,6589800,4780800,1875600,431100,280800,30622500,60300,3045600,2064600,674100,9043200,16818300,851400,45900,0,100,4.592557663,0,0,0.24,0.48,0.376,0.075139039,0.42,0.42
9,6f130be6-e21c-4a7f-ae87-d2dabcab863c,Amish Dam #8,43.6244,1,0,0,0,0,0,71100,0,4086900,2549700,1070100,303300,14400,18143100,31500,1632600,874800,500400,5455800,8396100,487800,13500,0,100,4.66379257,0,0,0.24,0.48,0.368,0.076254007,0.42,0.36
10,6b815e18-38d1-452b-af21-79f1d2c04f24,Anaconda Dam,453.3519,106,0,0,0,0,0,8278200,0,35127900,29557800,24516900,5903100,443700,202612500,8115300,86553900,1546200,1894500,23998500,1905300,21231000,1668600,0,100,7.338966025,0,0,0.05,0.53,0.378,0.083477833,0.36,0.38
